metric,scope,n,pearson_r,source
sigma_max,overall,160,-0.051000871199444735,spectral
sigma_max,factual,40,0.08293708939714893,spectral
sigma_max,coding,40,-0.2069527162171351,spectral
sigma_max,reasoning,40,-0.0385236888280779,spectral
sigma_max,hallucination_prone,40,0.05370569538400116,spectral
lambda_max,overall,160,-0.008478961261497433,spectral
lambda_max,factual,40,0.12010784385096299,spectral
lambda_max,coding,40,-0.1537035032913211,spectral
lambda_max,reasoning,40,0.0032806907670889537,spectral
lambda_max,hallucination_prone,40,0.04271176210905208,spectral
lambda_bulk_pred,overall,160,-0.07770755001002289,spectral
lambda_bulk_pred,factual,40,0.11172691537654837,spectral
lambda_bulk_pred,coding,40,-0.2614360713980939,spectral
lambda_bulk_pred,reasoning,40,-0.08579672853196238,spectral
lambda_bulk_pred,hallucination_prone,40,-0.09508541667991052,spectral
stable_rank,overall,160,-0.006315374525980534,spectral
stable_rank,factual,40,-0.025248799891099183,spectral
stable_rank,coding,40,0.01784657969024502,spectral
stable_rank,reasoning,40,-0.007671574559131434,spectral
stable_rank,hallucination_prone,40,-0.00825723781766746,spectral
spectral_gap,overall,160,0.04508305714251142,spectral
spectral_gap,factual,40,0.24771229142743184,spectral
spectral_gap,coding,40,0.03884920110127866,spectral
spectral_gap,reasoning,40,-0.052044554623346895,spectral
spectral_gap,hallucination_prone,40,-0.16713983812189787,spectral
chi_fisher_max,overall,160,0.1375629877614768,spectral
chi_fisher_max,factual,40,0.36028112957534425,spectral
chi_fisher_max,coding,40,0.12405823215796177,spectral
chi_fisher_max,reasoning,40,0.04864373719105146,spectral
chi_fisher_max,hallucination_prone,40,0.05560045309819448,spectral
chi_fisher_along_hidden_lead,overall,160,0.09039148498928494,spectral
chi_fisher_along_hidden_lead,factual,40,0.24087689760522007,spectral
chi_fisher_along_hidden_lead,coding,40,0.11996275820394496,spectral
chi_fisher_along_hidden_lead,reasoning,40,-0.09992121796478298,spectral
chi_fisher_along_hidden_lead,hallucination_prone,40,0.0891551378072024,spectral
lead_alignment,overall,160,0.06894083514559646,spectral
lead_alignment,factual,40,0.22339511219179597,spectral
lead_alignment,coding,40,0.15595590247650135,spectral
lead_alignment,reasoning,40,-0.05990415765829746,spectral
lead_alignment,hallucination_prone,40,-0.01838120504641421,spectral
entropy,overall,160,0.045813686085604974,spectral
entropy,factual,40,-0.07749045313615732,spectral
entropy,coding,40,-0.017159480466825583,spectral
entropy,reasoning,40,0.7382295059066696,spectral
entropy,hallucination_prone,40,-0.0681122867082299,spectral
top1_prob,overall,160,-0.02422308188403752,spectral
top1_prob,factual,40,0.1443659490006014,spectral
top1_prob,coding,40,0.06408288940362328,spectral
top1_prob,reasoning,40,-0.7859051247024146,spectral
top1_prob,hallucination_prone,40,0.16388790634614325,spectral
