metric,contrast,raw_coef,raw_ci_low,raw_ci_high,raw_p,adj_coef,adj_ci_low,adj_ci_high,adj_p,shrinkage_pct,n_templates,source
sigma_max,coding - factual,8.26063757057631,0.3184055607674754,16.202869580385148,0.041496028055637214,8.260637570576339,0.3265850004817459,16.194690140670932,0.041286534317194035,-3.3306690738754696e-13,102,spectral
sigma_max,hallucination_prone - factual,-4.940677585844377,-10.736593955207887,0.8552387835191331,0.09477028915375445,-4.940677585844341,-10.805043994714714,0.9236888230260316,0.09868701192099355,7.327471962526033e-13,102,spectral
sigma_max,reasoning - factual,-7.457527578945688,-21.486051916127614,6.57099675823624,0.2974525587468616,-7.45752757894567,-21.748934150688797,6.833878992797458,0.3064277386769144,2.3314683517128287e-13,102,spectral
lambda_max,coding - factual,0.00278405048502465,7.523731710369977e-05,0.0054928636529456,0.04396734383296042,0.002784050485024703,6.668309910665918e-05,0.0055014178709427465,0.044636840760523246,-1.9095836023552692e-12,102,spectral
lambda_max,hallucination_prone - factual,-0.0017811445465220073,-0.004101383284965736,0.0005390941919217213,0.13243271658291414,-0.0017811445465218938,-0.004116092336634696,0.0005538032435909077,0.13488848877886267,6.361577931102147e-12,102,spectral
lambda_max,reasoning - factual,-0.0033873044878852195,-0.009103931212869155,0.002329322237098716,0.24550027959727827,-0.003387304487885185,-0.009169091131343784,0.0023944821555734143,0.2508612130951209,1.0103029524088925e-12,102,spectral
lambda_bulk_pred,coding - factual,8.31703728817293e-05,-0.0014964266221852308,0.0016627673679486892,0.9178059856092196,8.317037288172564e-05,-0.0014949877456726353,0.0016613284914360868,0.9177313117096978,4.39648317751562e-12,102,spectral
lambda_bulk_pred,hallucination_prone - factual,0.0006032429347785426,-0.000709853588435637,0.0019163394579927223,0.36789837968920547,0.0006032429347785378,-0.0007498173344628664,0.001956303204019942,0.38221495786301696,7.882583474838611e-13,102,spectral
lambda_bulk_pred,reasoning - factual,-0.004675105319441697,-0.0076424040553931955,-0.0017078065834901976,0.002015040026919441,-0.004675105319441697,-0.007758100633077306,-0.0015921100058060877,0.002957491845265406,0.0,102,spectral
stable_rank,coding - factual,-0.6964765200363852,-1.1462577343458293,-0.24669530572694087,0.002405659920233822,-0.6964765200363845,-1.155883606864336,-0.23706943320843282,0.002964733944992884,9.992007221626409e-14,102,spectral
