metric,scope,n,pearson_r,source
ftle_final,overall,800,-0.30856288502698714,legacy
ftle_final,factual,200,-0.08535559230538205,legacy
ftle_final,coding,200,-0.5748596415640335,legacy
ftle_final,reasoning,200,-0.3834723312591076,legacy
ftle_final,hallucination_prone,200,-0.4461115066876932,legacy
expansive_frac,overall,800,-0.24620424006091943,legacy
expansive_frac,factual,200,-0.2739459628956998,legacy
expansive_frac,coding,200,-0.37467634114760917,legacy
expansive_frac,reasoning,200,-0.23968842883339264,legacy
expansive_frac,hallucination_prone,200,-0.14227594831642,legacy
entropy,overall,800,0.0007542967137488175,legacy
entropy,factual,200,0.22220622775254995,legacy
entropy,coding,200,-0.14496925953182582,legacy
entropy,reasoning,200,-0.04855535594305882,legacy
entropy,hallucination_prone,200,-0.17534280006150904,legacy
top1_prob,overall,800,0.04085163699911801,legacy
top1_prob,factual,200,-0.15464546447208435,legacy
top1_prob,coding,200,0.30525884223460326,legacy
top1_prob,reasoning,200,0.08482080508867207,legacy
top1_prob,hallucination_prone,200,0.06471516667583585,legacy
sigma_max,overall,160,0.22582579331275196,spectral
sigma_max,factual,40,0.24631363260500957,spectral
sigma_max,coding,40,0.2042157735775331,spectral
sigma_max,reasoning,40,0.6766305636701859,spectral
sigma_max,hallucination_prone,40,0.24138495315930636,spectral
lambda_max,overall,160,0.25149125051413845,spectral
lambda_max,factual,40,0.259800876915339,spectral
lambda_max,coding,40,0.22200838438968082,spectral
lambda_max,reasoning,40,0.6899506308359566,spectral
lambda_max,hallucination_prone,40,0.23844823430433446,spectral
lambda_bulk_pred,overall,160,0.05805221738664213,spectral
lambda_bulk_pred,factual,40,0.07300244674170703,spectral
lambda_bulk_pred,coding,40,-0.0013652435587003424,spectral
lambda_bulk_pred,reasoning,40,0.4483518785504939,spectral
lambda_bulk_pred,hallucination_prone,40,-0.18177987984670332,spectral
stable_rank,overall,160,-0.23351423888011458,spectral
stable_rank,factual,40,-0.28261156521237596,spectral
stable_rank,coding,40,-0.12912874632938093,spectral
stable_rank,reasoning,40,-0.23903745031249932,spectral
stable_rank,hallucination_prone,40,-0.3598159468721298,spectral
spectral_gap,overall,160,-0.12880306400213812,spectral
spectral_gap,factual,40,-0.20148598021921016,spectral
spectral_gap,coding,40,-0.3663305535068268,spectral
spectral_gap,reasoning,40,0.3532515062404184,spectral
spectral_gap,hallucination_prone,40,-0.1549627284869428,spectral
chi_fisher_max,overall,160,0.1808692609188946,spectral
chi_fisher_max,factual,40,0.31664863943053256,spectral
chi_fisher_max,coding,40,-0.10894597674501466,spectral
chi_fisher_max,reasoning,40,0.5824368384663622,spectral
chi_fisher_max,hallucination_prone,40,0.14537461148034228,spectral
chi_fisher_along_hidden_lead,overall,160,0.1561238003236581,spectral
chi_fisher_along_hidden_lead,factual,40,0.3341106384821661,spectral
chi_fisher_along_hidden_lead,coding,40,-0.16007372980160117,spectral
chi_fisher_along_hidden_lead,reasoning,40,0.5659851176771182,spectral
chi_fisher_along_hidden_lead,hallucination_prone,40,0.1403188743873968,spectral
lead_alignment,overall,160,0.1694941491590915,spectral
lead_alignment,factual,40,0.4704987657715681,spectral
lead_alignment,coding,40,-0.11158660891171207,spectral
lead_alignment,reasoning,40,0.42884831090511105,spectral
lead_alignment,hallucination_prone,40,-0.0029389201157780276,spectral
entropy,overall,160,-0.014169302856735655,spectral
entropy,factual,40,-0.01381490364959941,spectral
entropy,coding,40,-0.15544767959636366,spectral
entropy,reasoning,40,0.3687439216919311,spectral
entropy,hallucination_prone,40,-0.19932063504240494,spectral
top1_prob,overall,160,0.028656323418960676,spectral
top1_prob,factual,40,0.005484437084460609,spectral
top1_prob,coding,40,0.30887971251286145,spectral
top1_prob,reasoning,40,-0.21325990601612058,spectral
top1_prob,hallucination_prone,40,0.10332840689225836,spectral
